"aa" Gram/IV LLAR Der/vv Gram/IV V	start_movement
"aa" Gram/IV LLAR Der/vv RIAR Der/vv Gram/IV VIK Der/vn TUUQ Der/nn N	Ltop
"aa" Gram/IV LLAR Der/vv RIIR Der/vv Gram/IV TUQ Der/vn N	temp
"aa" Gram/IV LLAR Der/vv TAR Der/vv Gram/IV VIK Der/vn N	temp
"aa" Gram/IV NAAR Der/vv Gram/TV INNAQ Der/vn LIR Der/nv Gram/IV NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV INNAQ Der/vn LIR Der/nv Gram/TV Gram/IV NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV INNAQ Der/vn LIR Der/nv Gram/TV NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV INNAR Der/vv LIR Der/vv Gram/IV NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV INNAR Der/vv LIR Der/vv Gram/TV NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV INNAR Der/vv LIR Der/vv NIQ Der/vn N	sick-c
"aa" Gram/IV NAAR Der/vv Gram/TV NIQ Der/vn N	event
"aa" Gram/IV NAAR Der/vv Gram/TV V	excrete
"aa" Gram/IV NAAR Der/vv Gram/TV VIK Der/vn SUAQ Der/nn N	cm-liq
"aa" Gram/IV NAVIIR Der/vv SAR Der/vv HTR Der/vv Gram/IV TAR Der/vv Gram/IV TUQ Der/vn N	Hprof
"aa" Gram/IV NIQ Der/vn QAR Der/nv Gram/IV NIQ Der/vn N	act
"aa" Gram/IV QQIP Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV NIQ Der/vn N	activity
"aa" Gram/IV QQIP Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV NIQ Der/vn N	occ
"aa" Gram/IV QQIP Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV QATE Der/vn GIIP Der/nv Gram/IV NIQ Der/vn N	ac
